Company,Full Name,Title,Image links
Pfizer,Albert Bourla,CEO,https://cdn.pfizer.com/pfizercom/styles/original_image/s3/2025-09/albert_bourla_2025_400x600.jpg.webp?VersionId=Ft4feUbisEwvMVnVmyjeSayAD_BjBxaq&itok=Pp77qA7F
PMI,Jacek Olczak,CEO,https://www.pmi.com/content/dam/pmicom/global/images/board-of-directors/jacek-olczak-ceo-pmi.jpg?imwidth=2048&imdensity=2
PMI,Stacey Kennedy,"CEO, US",https://media.licdn.com/dms/image/v2/D4E03AQHRhkZqWRGcEA/profile-displayphoto-shrink_800_800/profile-displayphoto-shrink_800_800/0/1680786248381?e=1776297600&v=beta&t=tmGmkJKprN59cT44QyeyXxkJkndFmDIE4ZxxOb6NfO0
PNC,Bill Demchak,Chairman and CEO,https://www.pnc.com/en/about-pnc/company-profile/leadership-team/william-s-demchak/_jcr_content/main/pageHead/container/embeddedGrid/image_819093175.coreimg.jpeg/1760967570694/bio-bill-demchak.jpeg
PwC US,Dan Priest,Chief AI Officer,https://www.pwc.com/us/en/about-us/newsroom/img/dan-priest-headshot.jpg
PwC US,Michelle Horton,Principal,https://media.licdn.com/dms/image/v2/D4D03AQFcvZh2HgecQw/profile-displayphoto-shrink_200_200/profile-displayphoto-shrink_200_200/0/1681781533195?e=2147483647&v=beta&t=YeZ2FJSb7KvSC5BKozr10KhnO5e5lh2c8duM3OgSL9w
PwC US,Paul Griggs,US Senior Partner & CEO,https://www.pwc.com/gx/en/contacts/paul-griggs-headshot.jpeg
Qualcomm Incorporated,Cristiano Amon,President & CEO,https://s7d1.scene7.com/is/image/dmqualcommprod/cristiano-2024-headshot-585x585?$QC_Responsive$&fmt=png-alpha
Ralph Lauren,Patrice Louvet,President & CEO,https://cloudfront-eu-central-1.images.arcpublishing.com/businessoffashion/OQ5HVQG46BEAPPA7WG7NLVTSXU.jpg
Ripple,Brad Garlinghouse,CEO,https://media.licdn.com/dms/image/v2/D4D03AQF-yszFi_QzmQ/profile-displayphoto-shrink_200_200/profile-displayphoto-shrink_200_200/0/1694660209775?e=2147483647&v=beta&t=kliJIz-Gf8iCMMfYo9gklsrXkBxEGNlXekU5eLHWl9o
Royal Bank of Canada,David McKay,President & CEO,https://www.canadianclub.org/wp-content/uploads/2024/08/profile-dave-mckay.jpg
SAP,Christian Klein,CEO,https://content.cdn.sap.com/is/image/sap/christian-klein
Saudi Arabia,HRH Princess Reema Bandar Al Saud,Ambassador to the United States,https://www.edrmagazine.eu/wp-content/uploads/2024/01/HRH-Ambassador-Reema-bint-Bandar-Al-Saud.jpg
Schneider Electric,Aamir Paul,"President, North America Operations",https://www.se.com/us/en/assets/wiztopic/60671086eca0ed09c56b3a63/Aami-Paul-Ex-Frame-dark-IC-490x490-jpg_square.jpg
SkyBridge Capital,Anthony Scaramucci,Founder & Managing Partner,https://res.cloudinary.com/bizzaboprod/image/upload/f_auto,c_scale,c_crop,g_custom/v1701787891/twus99h6fhm6nugjntts
Stand Together,Brian Hooks,Chairman and CEO,https://cdn.prod.website-files.com/5e559bb4c06b8960e62b5105/5e559bb4c06b89c1ad2b5fd7_a4df4da5-6057-47dc-ac0f-1430933fcfb5-p-800.jpeg
Standard Bank Group,Simpiwe Tshabalala,Group CEO,https://www.standardbank.com/static_file/SBG/Assets/Img/Standard%20Bank%20Group/Leadership/2024/GLC/Q3/Sim%20Tshabalala/Sim_not-compressed_Portrait_sq_300x300.jpg
Tata Sons,Natarajan Chandrasekaran,Chairman,https://www.nyas.org/wp-content/uploads/2023/10/Natarajan-Chandrasekarak.png
TIAA,Thasunda Brown Duckett,President and CEO,https://imageio.forbes.com/specials-images/imageserve/6390b221728b3fc21208ccf8/0x0.jpg?format=jpg&crop=1567,1566,x838,y104,safe&height=416&width=416&fit=bounds
TotalEnergies,Patrick Pouyanné,Chairman and CEO,https://www.atlanticcouncil.org/wp-content/uploads/2023/01/Patrick-Pouyanne_HD.jpg
Udemy,Hugo Sarrazin,CEO,https://mms.businesswire.com/media/20250311257338/en/2407236/4/Sarrazin_Hugo_Headshot.jpg
Verizon,Dan Schulman,CEO,https://www.verizon.com/about/sites/default/files/2023-04/dan_schulman_bio_photo_300x375.jpg
Verizon,Franz Paasche,"Executive Vice President, Corporate Affairs",https://ss7.vzw.com/is/image/VerizonWireless/Leadership%20&%20Board%20of%20Directors%20-%20Leadership%20-%20Franz%20Paasche%20-%2021_9%20(1)?resMode=sharp2&scl=1
WeWork,John Santora,Chief Executive Officer,https://rumcsi.org/wp-content/uploads/2020/12/John-C.-Santora-update.jpg
Willett Advisors,Steve Rattner,Chairman & CEO,https://media.licdn.com/dms/image/v2/D4E03AQGOAd1F4npNDg/profile-displayphoto-shrink_200_200/profile-displayphoto-shrink_200_200/0/1673641445923?e=2147483647&v=beta&t=kWOCYq9u75U0KklIoXbJGMPNaM86JKYqw0WmSmp7IHc
